You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Parsed arguments:
 +---------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data_dir                                                | peft_type | task            | batch_size | epochs | lr    | seed | add_prefix | device | save_freq | num_virtual_tokens | balance | r | la | sep_tok |
+---------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data/datasets/entity_matching/structured/Walmart-Amazon | lora      | entity_matching | 16         | 200    | 0.001 | 1234 | False      | cuda   | 10        | 50                 | False   | 8 | 8  | .       |
+---------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+

Downloading (…)neration_config.json:   0%|          | 0.00/147 [00:00<?, ?B/s]
Downloading (…)neration_config.json: 100%|██████████| 147/147 [00:00<00:00, 40.0kB/s]trainable params: 294,912 || all params: 60,801,536 || trainable%: 0.4850403779272945
Epoch: 7 | Train Loss: 0.0582 | Val Loss: 0.0701 | Train Acc: 0.9582 | Val Acc: 0.9531 | Train F1: 0.7609 | Val F1: 0.7703 | Train Time: 33.40354633331299 secs
Epoch: 8 | Train Loss: 0.0568 | Val Loss: 0.0626 | Train Acc: 0.9575 | Val Acc: 0.9566 | Train F1: 0.7572 | Val F1: 0.7835 | Train Time: 33.67716193199158 secs
Saving model with validation F1: 0.7834549878345499 at epoch: 8
Epoch: 9 | Train Loss: 0.0513 | Val Loss: 0.0647 | Train Acc: 0.9634 | Val Acc: 0.9614 | Train F1: 0.7953 | Val F1: 0.7893 | Train Time: 33.0178656578064 secs
Saving model with validation F1: 0.7893333333333333 at epoch: 9
Epoch: 10 | Train Loss: 0.0451 | Val Loss: 0.0751 | Train Acc: 0.9647 | Val Acc: 0.9536 | Train F1: 0.8043 | Val F1: 0.7700 | Train Time: 32.86808156967163 secs
Epoch: 11 | Train Loss: 0.0411 | Val Loss: 0.0876 | Train Acc: 0.9715 | Val Acc: 0.9419 | Train F1: 0.8439 | Val F1: 0.7407 | Train Time: 32.77285408973694 secs
Epoch: 12 | Train Loss: 0.0381 | Val Loss: 0.0776 | Train Acc: 0.9718 | Val Acc: 0.9541 | Train F1: 0.8473 | Val F1: 0.7751 | Train Time: 32.74930453300476 secs
Epoch: 13 | Train Loss: 0.0433 | Val Loss: 0.0762 | Train Acc: 0.9683 | Val Acc: 0.9619 | Train F1: 0.8251 | Val F1: 0.7857 | Train Time: 32.74079370498657 secs
Epoch: 14 | Train Loss: 0.0338 | Val Loss: 0.0920 | Train Acc: 0.9751 | Val Acc: 0.9463 | Train F1: 0.8630 | Val F1: 0.7500 | Train Time: 32.705838203430176 secs
Epoch: 15 | Train Loss: 0.0300 | Val Loss: 0.0984 | Train Acc: 0.9751 | Val Acc: 0.9473 | Train F1: 0.8642 | Val F1: 0.7523 | Train Time: 32.83534121513367 secs
Epoch: 16 | Train Loss: 0.0321 | Val Loss: 0.0756 | Train Acc: 0.9764 | Val Acc: 0.9585 | Train F1: 0.8727 | Val F1: 0.7880 | Train Time: 32.799320936203 secs
Epoch: 17 | Train Loss: 0.0264 | Val Loss: 0.0875 | Train Acc: 0.9792 | Val Acc: 0.9561 | Train F1: 0.8883 | Val F1: 0.7727 | Train Time: 32.77000617980957 secs
Epoch: 18 | Train Loss: 0.0308 | Val Loss: 0.0964 | Train Acc: 0.9790 | Val Acc: 0.9497 | Train F1: 0.8861 | Val F1: 0.7588 | Train Time: 32.77928066253662 secs
Epoch: 19 | Train Loss: 0.0254 | Val Loss: 0.0989 | Train Acc: 0.9811 | Val Acc: 0.9473 | Train F1: 0.8977 | Val F1: 0.7512 | Train Time: 32.88907265663147 secs
Epoch: 20 | Train Loss: 0.0266 | Val Loss: 0.0934 | Train Acc: 0.9818 | Val Acc: 0.9517 | Train F1: 0.9014 | Val F1: 0.7660 | Train Time: 32.924145221710205 secs
Epoch: 21 | Train Loss: 0.0204 | Val Loss: 0.1202 | Train Acc: 0.9852 | Val Acc: 0.9444 | Train F1: 0.9198 | Val F1: 0.7489 | Train Time: 32.877838134765625 secs
Epoch: 22 | Train Loss: 0.0256 | Val Loss: 0.0972 | Train Acc: 0.9806 | Val Acc: 0.9556 | Train F1: 0.8953 | Val F1: 0.7742 | Train Time: 32.921597957611084 secs
Epoch: 23 | Train Loss: 0.0177 | Val Loss: 0.1011 | Train Acc: 0.9862 | Val Acc: 0.9527 | Train F1: 0.9259 | Val F1: 0.7696 | Train Time: 32.782352685928345 secs
Epoch: 24 | Train Loss: 0.0213 | Val Loss: 0.1056 | Train Acc: 0.9842 | Val Acc: 0.9463 | Train F1: 0.9156 | Val F1: 0.7500 | Train Time: 32.90962314605713 secs
Epoch: 25 | Train Loss: 0.0166 | Val Loss: 0.1221 | Train Acc: 0.9901 | Val Acc: 0.9551 | Train F1: 0.9469 | Val F1: 0.7745 | Train Time: 32.739784717559814 secs
Epoch: 26 | Train Loss: 0.0205 | Val Loss: 0.0993 | Train Acc: 0.9850 | Val Acc: 0.9610 | Train F1: 0.9201 | Val F1: 0.7849 | Train Time: 32.78436899185181 secs
Epoch: 27 | Train Loss: 0.0177 | Val Loss: 0.1203 | Train Acc: 0.9868 | Val Acc: 0.9522 | Train F1: 0.9294 | Val F1: 0.7574 | Train Time: 32.8169367313385 secs
Epoch: 28 | Train Loss: 0.0193 | Val Loss: 0.0969 | Train Acc: 0.9867 | Val Acc: 0.9571 | Train F1: 0.9294 | Val F1: 0.7800 | Train Time: 32.561978340148926 secs
Epoch: 29 | Train Loss: 0.0189 | Val Loss: 0.1025 | Train Acc: 0.9860 | Val Acc: 0.9551 | Train F1: 0.9251 | Val F1: 0.7767 | Train Time: 32.571165561676025 secs
Epoch: 30 | Train Loss: 0.0156 | Val Loss: 0.1154 | Train Acc: 0.9886 | Val Acc: 0.9522 | Train F1: 0.9390 | Val F1: 0.7700 | Train Time: 32.589107275009155 secs
Epoch: 31 | Train Loss: 0.0196 | Val Loss: 0.0891 | Train Acc: 0.9852 | Val Acc: 0.9610 | Train F1: 0.9205 | Val F1: 0.7970 | Train Time: 32.5302848815918 secs
Saving model with validation F1: 0.7969543147208122 at epoch: 31
Epoch: 32 | Train Loss: 0.0137 | Val Loss: 0.1031 | Train Acc: 0.9901 | Val Acc: 0.9590 | Train F1: 0.9470 | Val F1: 0.7801 | Train Time: 32.37410283088684 secs
Epoch: 33 | Train Loss: 0.0114 | Val Loss: 0.1578 | Train Acc: 0.9924 | Val Acc: 0.9327 | Train F1: 0.9587 | Val F1: 0.7113 | Train Time: 35.721412897109985 secs
Epoch: 34 | Train Loss: 0.0164 | Val Loss: 0.1166 | Train Acc: 0.9873 | Val Acc: 0.9541 | Train F1: 0.9322 | Val F1: 0.7707 | Train Time: 32.583312034606934 secs
Epoch: 35 | Train Loss: 0.0116 | Val Loss: 0.1368 | Train Acc: 0.9917 | Val Acc: 0.9492 | Train F1: 0.9556 | Val F1: 0.7559 | Train Time: 32.563472032547 secs
Epoch: 36 | Train Loss: 0.0131 | Val Loss: 0.1147 | Train Acc: 0.9907 | Val Acc: 0.9512 | Train F1: 0.9503 | Val F1: 0.7653 | Train Time: 32.6060152053833 secs
Epoch: 37 | Train Loss: 0.0130 | Val Loss: 0.1247 | Train Acc: 0.9910 | Val Acc: 0.9531 | Train F1: 0.9522 | Val F1: 0.7746 | Train Time: 32.59506130218506 secs
Epoch: 38 | Train Loss: 0.0136 | Val Loss: 0.1027 | Train Acc: 0.9901 | Val Acc: 0.9561 | Train F1: 0.9469 | Val F1: 0.7794 | Train Time: 32.60161757469177 secs
Epoch: 39 | Train Loss: 0.0135 | Val Loss: 0.1051 | Train Acc: 0.9904 | Val Acc: 0.9610 | Train F1: 0.9487 | Val F1: 0.7938 | Train Time: 32.59619212150574 secs
Epoch: 40 | Train Loss: 0.0106 | Val Loss: 0.1190 | Train Acc: 0.9924 | Val Acc: 0.9600 | Train F1: 0.9591 | Val F1: 0.7950 | Train Time: 34.5303738117218 secs
Epoch: 41 | Train Loss: 0.0138 | Val Loss: 0.1249 | Train Acc: 0.9894 | Val Acc: 0.9483 | Train F1: 0.9436 | Val F1: 0.7580 | Train Time: 32.65676999092102 secs
Epoch: 42 | Train Loss: 0.0134 | Val Loss: 0.1064 | Train Acc: 0.9897 | Val Acc: 0.9571 | Train F1: 0.9451 | Val F1: 0.7833 | Train Time: 32.59397554397583 secs
Epoch: 43 | Train Loss: 0.0099 | Val Loss: 0.1380 | Train Acc: 0.9940 | Val Acc: 0.9458 | Train F1: 0.9677 | Val F1: 0.7517 | Train Time: 32.680335998535156 secs
Epoch: 44 | Train Loss: 0.0128 | Val Loss: 0.0984 | Train Acc: 0.9914 | Val Acc: 0.9658 | Train F1: 0.9540 | Val F1: 0.8232 | Train Time: 32.60746622085571 secs
Saving model with validation F1: 0.8232323232323232 at epoch: 44
Epoch: 45 | Train Loss: 0.0112 | Val Loss: 0.1160 | Train Acc: 0.9927 | Val Acc: 0.9556 | Train F1: 0.9609 | Val F1: 0.7807 | Train Time: 32.709800720214844 secs
Epoch: 46 | Train Loss: 0.0105 | Val Loss: 0.1105 | Train Acc: 0.9928 | Val Acc: 0.9585 | Train F1: 0.9617 | Val F1: 0.7848 | Train Time: 32.60539698600769 secs
Epoch: 47 | Train Loss: 0.0085 | Val Loss: 0.1496 | Train Acc: 0.9930 | Val Acc: 0.9556 | Train F1: 0.9628 | Val F1: 0.7731 | Train Time: 32.62620210647583 secs
Epoch: 48 | Train Loss: 0.0069 | Val Loss: 0.1473 | Train Acc: 0.9948 | Val Acc: 0.9517 | Train F1: 0.9722 | Val F1: 0.7660 | Train Time: 32.61099171638489 secs
Epoch: 49 | Train Loss: 0.0084 | Val Loss: 0.1183 | Train Acc: 0.9932 | Val Acc: 0.9605 | Train F1: 0.9635 | Val F1: 0.7980 | Train Time: 32.66963863372803 secs
Epoch: 50 | Train Loss: 0.0118 | Val Loss: 0.1179 | Train Acc: 0.9920 | Val Acc: 0.9575 | Train F1: 0.9574 | Val F1: 0.7852 | Train Time: 32.70416235923767 secs
Epoch: 51 | Train Loss: 0.0090 | Val Loss: 0.1515 | Train Acc: 0.9935 | Val Acc: 0.9512 | Train F1: 0.9652 | Val F1: 0.7706 | Train Time: 32.64805841445923 secs
Epoch: 52 | Train Loss: 0.0086 | Val Loss: 0.1297 | Train Acc: 0.9943 | Val Acc: 0.9522 | Train F1: 0.9695 | Val F1: 0.7721 | Train Time: 32.598411321640015 secs
Epoch: 53 | Train Loss: 0.0068 | Val Loss: 0.1167 | Train Acc: 0.9956 | Val Acc: 0.9590 | Train F1: 0.9765 | Val F1: 0.7951 | Train Time: 32.60527563095093 secs
Epoch: 54 | Train Loss: 0.0108 | Val Loss: 0.1064 | Train Acc: 0.9928 | Val Acc: 0.9585 | Train F1: 0.9617 | Val F1: 0.7826 | Train Time: 32.68847393989563 secs
Epoch: 55 | Train Loss: 0.0092 | Val Loss: 0.1379 | Train Acc: 0.9940 | Val Acc: 0.9497 | Train F1: 0.9676 | Val F1: 0.7643 | Train Time: 32.6576714515686 secs
Epoch: 56 | Train Loss: 0.0104 | Val Loss: 0.1093 | Train Acc: 0.9922 | Val Acc: 0.9546 | Train F1: 0.9585 | Val F1: 0.7759 | Train Time: 32.71143627166748 secs
Epoch: 57 | Train Loss: 0.0090 | Val Loss: 0.1135 | Train Acc: 0.9933 | Val Acc: 0.9580 | Train F1: 0.9643 | Val F1: 0.7839 | Train Time: 32.64551877975464 secs
Epoch: 58 | Train Loss: 0.0080 | Val Loss: 0.1218 | Train Acc: 0.9932 | Val Acc: 0.9551 | Train F1: 0.9633 | Val F1: 0.7778 | Train Time: 32.594377517700195 secs
Epoch: 59 | Train Loss: 0.0076 | Val Loss: 0.1067 | Train Acc: 0.9951 | Val Acc: 0.9624 | Train F1: 0.9740 | Val F1: 0.7979 | Train Time: 32.65858221054077 secs
Epoch: 60 | Train Loss: 0.0067 | Val Loss: 0.1156 | Train Acc: 0.9950 | Val Acc: 0.9590 | Train F1: 0.9730 | Val F1: 0.7846 | Train Time: 32.60747170448303 secs
Epoch: 61 | Train Loss: 0.0078 | Val Loss: 0.1375 | Train Acc: 0.9938 | Val Acc: 0.9551 | Train F1: 0.9670 | Val F1: 0.7850 | Train Time: 32.585153341293335 secs
Epoch: 62 | Train Loss: 0.0067 | Val Loss: 0.1290 | Train Acc: 0.9959 | Val Acc: 0.9595 | Train F1: 0.9784 | Val F1: 0.7930 | Train Time: 32.663400411605835 secs
Epoch: 63 | Train Loss: 0.0083 | Val Loss: 0.1245 | Train Acc: 0.9938 | Val Acc: 0.9575 | Train F1: 0.9670 | Val F1: 0.7943 | Train Time: 32.66501474380493 secs
Epoch: 64 | Train Loss: 0.0087 | Val Loss: 0.1212 | Train Acc: 0.9928 | Val Acc: 0.9575 | Train F1: 0.9619 | Val F1: 0.7862 | Train Time: 32.61917471885681 secs
Epoch: 65 | Train Loss: 0.0077 | Val Loss: 0.1297 | Train Acc: 0.9948 | Val Acc: 0.9551 | Train F1: 0.9723 | Val F1: 0.7745 | Train Time: 32.5882933139801 secs
Epoch: 66 | Train Loss: 0.0049 | Val Loss: 0.1566 | Train Acc: 0.9963 | Val Acc: 0.9473 | Train F1: 0.9800 | Val F1: 0.7512 | Train Time: 32.578452587127686 secs
Epoch: 67 | Train Loss: 0.0076 | Val Loss: 0.1303 | Train Acc: 0.9938 | Val Acc: 0.9531 | Train F1: 0.9671 | Val F1: 0.7681 | Train Time: 32.682427644729614 secs
Epoch: 68 | Train Loss: 0.0071 | Val Loss: 0.1411 | Train Acc: 0.9940 | Val Acc: 0.9527 | Train F1: 0.9680 | Val F1: 0.7651 | Train Time: 32.69569253921509 secs
Epoch: 69 | Train Loss: 0.0045 | Val Loss: 0.1516 | Train Acc: 0.9966 | Val Acc: 0.9527 | Train F1: 0.9817 | Val F1: 0.7707 | Train Time: 36.35416769981384 secs
Epoch: 70 | Train Loss: 0.0073 | Val Loss: 0.1317 | Train Acc: 0.9953 | Val Acc: 0.9551 | Train F1: 0.9748 | Val F1: 0.7767 | Train Time: 32.71988010406494 secs
Epoch: 71 | Train Loss: 0.0073 | Val Loss: 0.1400 | Train Acc: 0.9951 | Val Acc: 0.9512 | Train F1: 0.9740 | Val F1: 0.7706 | Train Time: 32.54543662071228 secs
Epoch: 72 | Train Loss: 0.0062 | Val Loss: 0.1711 | Train Acc: 0.9954 | Val Acc: 0.9409 | Train F1: 0.9757 | Val F1: 0.7352 | Train Time: 32.53466868400574 secs
Epoch: 73 | Train Loss: 0.0052 | Val Loss: 0.1290 | Train Acc: 0.9964 | Val Acc: 0.9585 | Train F1: 0.9809 | Val F1: 0.7891 | Train Time: 32.6126914024353 secs
Epoch: 74 | Train Loss: 0.0075 | Val Loss: 0.1271 | Train Acc: 0.9951 | Val Acc: 0.9614 | Train F1: 0.9739 | Val F1: 0.8040 | Train Time: 32.60351824760437 secs
Epoch: 75 | Train Loss: 0.0074 | Val Loss: 0.1238 | Train Acc: 0.9951 | Val Acc: 0.9590 | Train F1: 0.9740 | Val F1: 0.7868 | Train Time: 32.577027797698975 secs
Epoch: 76 | Train Loss: 0.0046 | Val Loss: 0.1351 | Train Acc: 0.9966 | Val Acc: 0.9600 | Train F1: 0.9818 | Val F1: 0.7990 | Train Time: 32.63865685462952 secs
Epoch: 77 | Train Loss: 0.0059 | Val Loss: 0.1428 | Train Acc: 0.9956 | Val Acc: 0.9580 | Train F1: 0.9766 | Val F1: 0.7902 | Train Time: 32.505776166915894 secs
Epoch: 78 | Train Loss: 0.0044 | Val Loss: 0.1743 | Train Acc: 0.9969 | Val Acc: 0.9488 | Train F1: 0.9835 | Val F1: 0.7597 | Train Time: 32.74735713005066 secs
Epoch: 79 | Train Loss: 0.0056 | Val Loss: 0.1632 | Train Acc: 0.9956 | Val Acc: 0.9527 | Train F1: 0.9765 | Val F1: 0.7640 | Train Time: 32.524327993392944 secs
Epoch: 80 | Train Loss: 0.0045 | Val Loss: 0.1593 | Train Acc: 0.9969 | Val Acc: 0.9483 | Train F1: 0.9835 | Val F1: 0.7580 | Train Time: 32.58773970603943 secs
Epoch: 81 | Train Loss: 0.0058 | Val Loss: 0.1228 | Train Acc: 0.9961 | Val Acc: 0.9561 | Train F1: 0.9792 | Val F1: 0.7750 | Train Time: 32.605408668518066 secs
Epoch: 82 | Train Loss: 0.0041 | Val Loss: 0.1319 | Train Acc: 0.9969 | Val Acc: 0.9610 | Train F1: 0.9835 | Val F1: 0.7990 | Train Time: 32.55787515640259 secs
Epoch: 83 | Train Loss: 0.0055 | Val Loss: 0.1387 | Train Acc: 0.9961 | Val Acc: 0.9556 | Train F1: 0.9792 | Val F1: 0.7696 | Train Time: 32.5902464389801 secs
Epoch: 84 | Train Loss: 0.0046 | Val Loss: 0.1447 | Train Acc: 0.9974 | Val Acc: 0.9580 | Train F1: 0.9861 | Val F1: 0.7784 | Train Time: 32.50142574310303 secs
Epoch: 85 | Train Loss: 0.0044 | Val Loss: 0.1420 | Train Acc: 0.9963 | Val Acc: 0.9571 | Train F1: 0.9801 | Val F1: 0.7766 | Train Time: 32.53413987159729 secs
Epoch: 86 | Train Loss: 0.0048 | Val Loss: 0.1379 | Train Acc: 0.9969 | Val Acc: 0.9527 | Train F1: 0.9835 | Val F1: 0.7617 | Train Time: 32.53065609931946 secs
Epoch: 87 | Train Loss: 0.0038 | Val Loss: 0.1605 | Train Acc: 0.9976 | Val Acc: 0.9590 | Train F1: 0.9869 | Val F1: 0.7879 | Train Time: 32.5827100276947 secs
Epoch: 88 | Train Loss: 0.0067 | Val Loss: 0.1417 | Train Acc: 0.9950 | Val Acc: 0.9546 | Train F1: 0.9731 | Val F1: 0.7748 | Train Time: 32.50450253486633 secs
Epoch: 89 | Train Loss: 0.0053 | Val Loss: 0.1479 | Train Acc: 0.9959 | Val Acc: 0.9590 | Train F1: 0.9784 | Val F1: 0.7766 | Train Time: 32.53817009925842 secs
Epoch: 90 | Train Loss: 0.0059 | Val Loss: 0.1341 | Train Acc: 0.9967 | Val Acc: 0.9610 | Train F1: 0.9826 | Val F1: 0.8058 | Train Time: 32.595967054367065 secs
Epoch: 91 | Train Loss: 0.0035 | Val Loss: 0.1280 | Train Acc: 0.9982 | Val Acc: 0.9614 | Train F1: 0.9904 | Val F1: 0.8000 | Train Time: 32.67574167251587 secs
Epoch: 92 | Train Loss: 0.0024 | Val Loss: 0.1406 | Train Acc: 0.9984 | Val Acc: 0.9605 | Train F1: 0.9913 | Val F1: 0.8000 | Train Time: 32.54859948158264 secs
Epoch: 93 | Train Loss: 0.0048 | Val Loss: 0.1400 | Train Acc: 0.9964 | Val Acc: 0.9619 | Train F1: 0.9809 | Val F1: 0.8030 | Train Time: 32.59926772117615 secs
Epoch: 94 | Train Loss: 0.0038 | Val Loss: 0.1617 | Train Acc: 0.9972 | Val Acc: 0.9497 | Train F1: 0.9852 | Val F1: 0.7632 | Train Time: 32.55139183998108 secs
Epoch: 95 | Train Loss: 0.0039 | Val Loss: 0.1363 | Train Acc: 0.9969 | Val Acc: 0.9605 | Train F1: 0.9836 | Val F1: 0.7885 | Train Time: 32.506211042404175 secs
Epoch: 96 | Train Loss: 0.0060 | Val Loss: 0.1261 | Train Acc: 0.9969 | Val Acc: 0.9624 | Train F1: 0.9835 | Val F1: 0.7936 | Train Time: 32.52225399017334 secs
Epoch: 97 | Train Loss: 0.0032 | Val Loss: 0.1478 | Train Acc: 0.9976 | Val Acc: 0.9556 | Train F1: 0.9869 | Val F1: 0.7818 | Train Time: 32.526626110076904 secs
Epoch: 98 | Train Loss: 0.0031 | Val Loss: 0.1550 | Train Acc: 0.9979 | Val Acc: 0.9590 | Train F1: 0.9887 | Val F1: 0.7812 | Train Time: 32.49366068840027 secs
Epoch: 99 | Train Loss: 0.0055 | Val Loss: 0.1343 | Train Acc: 0.9961 | Val Acc: 0.9624 | Train F1: 0.9792 | Val F1: 0.7979 | Train Time: 32.45486378669739 secs
Epoch: 100 | Train Loss: 0.0041 | Val Loss: 0.1426 | Train Acc: 0.9964 | Val Acc: 0.9605 | Train F1: 0.9809 | Val F1: 0.7896 | Train Time: 32.488481760025024 secs
Epoch: 101 | Train Loss: 0.0038 | Val Loss: 0.1585 | Train Acc: 0.9980 | Val Acc: 0.9536 | Train F1: 0.9896 | Val F1: 0.7754 | Train Time: 33.08090662956238 secs
Epoch: 102 | Train Loss: 0.0029 | Val Loss: 0.1502 | Train Acc: 0.9985 | Val Acc: 0.9575 | Train F1: 0.9922 | Val F1: 0.7841 | Train Time: 32.98676586151123 secs
Epoch: 103 | Train Loss: 0.0025 | Val Loss: 0.1666 | Train Acc: 0.9980 | Val Acc: 0.9556 | Train F1: 0.9896 | Val F1: 0.7775 | Train Time: 32.964597940444946 secs
Epoch: 104 | Train Loss: 0.0036 | Val Loss: 0.1558 | Train Acc: 0.9976 | Val Acc: 0.9546 | Train F1: 0.9870 | Val F1: 0.7759 | Train Time: 32.95380425453186 secs
Epoch: 105 | Train Loss: 0.0041 | Val Loss: 0.1433 | Train Acc: 0.9971 | Val Acc: 0.9546 | Train F1: 0.9844 | Val F1: 0.7692 | Train Time: 32.94391417503357 secs
Epoch: 106 | Train Loss: 0.0039 | Val Loss: 0.1488 | Train Acc: 0.9974 | Val Acc: 0.9512 | Train F1: 0.9861 | Val F1: 0.7549 | Train Time: 33.047438859939575 secs
Epoch: 107 | Train Loss: 0.0015 | Val Loss: 0.1648 | Train Acc: 0.9992 | Val Acc: 0.9571 | Train F1: 0.9957 | Val F1: 0.7766 | Train Time: 32.888599157333374 secs
Epoch: 108 | Train Loss: 0.0058 | Val Loss: 0.1342 | Train Acc: 0.9974 | Val Acc: 0.9492 | Train F1: 0.9861 | Val F1: 0.7581 | Train Time: 32.93467688560486 secs
Epoch: 109 | Train Loss: 0.0024 | Val Loss: 0.1489 | Train Acc: 0.9987 | Val Acc: 0.9580 | Train F1: 0.9930 | Val F1: 0.7850 | Train Time: 32.95289206504822 secs
Epoch: 110 | Train Loss: 0.0032 | Val Loss: 0.1447 | Train Acc: 0.9982 | Val Acc: 0.9566 | Train F1: 0.9904 | Val F1: 0.7835 | Train Time: 32.861783504486084 secs
Epoch: 111 | Train Loss: 0.0020 | Val Loss: 0.1535 | Train Acc: 0.9989 | Val Acc: 0.9580 | Train F1: 0.9939 | Val F1: 0.7839 | Train Time: 32.949517488479614 secs
Epoch: 112 | Train Loss: 0.0035 | Val Loss: 0.1572 | Train Acc: 0.9979 | Val Acc: 0.9473 | Train F1: 0.9887 | Val F1: 0.7477 | Train Time: 32.88665223121643 secs
Epoch: 113 | Train Loss: 0.0032 | Val Loss: 0.1363 | Train Acc: 0.9977 | Val Acc: 0.9590 | Train F1: 0.9879 | Val F1: 0.7910 | Train Time: 32.92092323303223 secs
Epoch: 114 | Train Loss: 0.0034 | Val Loss: 0.1397 | Train Acc: 0.9972 | Val Acc: 0.9624 | Train F1: 0.9852 | Val F1: 0.8060 | Train Time: 32.99881911277771 secs
Epoch: 115 | Train Loss: 0.0031 | Val Loss: 0.1564 | Train Acc: 0.9969 | Val Acc: 0.9580 | Train F1: 0.9835 | Val F1: 0.7749 | Train Time: 32.94705843925476 secs
Epoch: 116 | Train Loss: 0.0034 | Val Loss: 0.1586 | Train Acc: 0.9972 | Val Acc: 0.9614 | Train F1: 0.9853 | Val F1: 0.7959 | Train Time: 32.92109966278076 secs
Epoch: 117 | Train Loss: 0.0018 | Val Loss: 0.1571 | Train Acc: 0.9989 | Val Acc: 0.9614 | Train F1: 0.9939 | Val F1: 0.8020 | Train Time: 33.023213624954224 secs
Epoch: 118 | Train Loss: 0.0027 | Val Loss: 0.1649 | Train Acc: 0.9979 | Val Acc: 0.9595 | Train F1: 0.9887 | Val F1: 0.7961 | Train Time: 32.944512128829956 secs
Epoch: 119 | Train Loss: 0.0011 | Val Loss: 0.1675 | Train Acc: 0.9995 | Val Acc: 0.9585 | Train F1: 0.9974 | Val F1: 0.7901 | Train Time: 32.91303110122681 secs
Epoch: 120 | Train Loss: 0.0040 | Val Loss: 0.1550 | Train Acc: 0.9979 | Val Acc: 0.9600 | Train F1: 0.9887 | Val F1: 0.7960 | Train Time: 33.07750725746155 secs
Epoch: 121 | Train Loss: 0.0013 | Val Loss: 0.1700 | Train Acc: 0.9995 | Val Acc: 0.9610 | Train F1: 0.9974 | Val F1: 0.8010 | Train Time: 32.95761156082153 secs
